Especies,Comestible,Tóxico
Abortiporus biennis,Comestible,No tóxico
Agaricus aff. xantholepis,Comestible,No tóxico
Agaricus xantholepis,Comestible,No tóxico
Agaricus augustus,Comestible,No tóxico
Agaricus bisporus,Comestible,No tóxico
Agaricus bitorquis,Comestible,No tóxico
Agaricus campestris,Comestible,No tóxico
Agaricus depauperatus,Comestible,No tóxico
Agaricus moelleri,No comestible,Tóxico
Agaricus pampeanus,Comestible,No tóxico
Agaricus placomyces var. placomyces,Comestible,No tóxico
Agaricus placomyces,Comestible,No tóxico
Agaricus praeclaresquamosus var. praeclaresquamosus,Comestible,No tóxico
Agaricus praeclaresquamosus,Comestible,No tóxico
Agaricus silvaticus,Comestible,No tóxico
Agaricus silvicola,Comestible,No tóxico
Agaricus subrutilescens,Comestible,No tóxico
Agaricus xanthodermus,No comestible,Tóxico
Agrocybe vervacti,Comestible,No tóxico
Albatrellus ellisii,Comestible,No tóxico
Albatrellus ovinus,Comestible,No tóxico
Albatrellus subrubescens,Comestible,No tóxico
Amanita amerifulva,Comestible,No tóxico
Amanita arkansana,Comestible,No tóxico
Amanita arocheae,No comestible,Tóxico
Amanita bassi,Comestible,No tóxico
Amanita battarrae,No comestible,Tóxico
Amanita bisporigera,No comestible,Tóxico
Amanita brunnescens,No comestible,Tóxico
Amanita caesarea,Comestible,No tóxico
Amanita caesarea complejo,Comestible,No tóxico
Amanita caesarea f.sp. americana,Comestible,No tóxico
Amanita caesarea var. alba,Comestible,No tóxico
Amanita caesareoides,Comestible,No tóxico
Amanita calyptratoides,Comestible,No tóxico
Amanita calyptroderma,Comestible,Tóxico
Amanita ceciliae,No comestible,Tóxico
Amanita chlorinosma,No comestible,Tóxico
Amanita citrina,Comestible,No tóxico
Amanita constricta,Comestible,No tóxico
Amanita crocea,Comestible,No tóxico
Amanita echinocephala,No comestible,Tóxico
Amanita flavoconia,No comestible,Tóxico
Amanita flavorubescens,No comestible,Tóxico
Amanita franchetii,No comestible,Tóxico
Amanita fulva,Comestible,No tóxico
Amanita gemmata,No comestible,Tóxico
Amanita hayalyuy,Comestible,No tóxico
Amanita hemibapha,Comestible,No tóxico
Amanita jacksonii,Comestible,No tóxico
